id,date_posted,job_role ,job_desc,salary,years_of_exp,employ_id,company_name,company_email
10021,2021-10-27,PROGRAMMING TRAINER,Conduct training in multiple programming languages. Prepare training curriculum and and training materials. Coordinate training schedules with trainees.,60012,9,10083,T. J. PTE LTD,TJ_ADMIN@tjmail.com
10022,2021-11-27,PROJECT ADMINISTRATOR,Track product development. Assist project manager in administrative tasks like form submissions and presentation slides and preparation materials.,63180,8,10060,C. U. PTE LTD,CU_ADMIN@cumail.com
10023,2021-12-27,FINTECH ENGINEER,Engineer financial products and problem-solve challenges in fintech.,32628,1,10083,T. J. PTE LTD,TJ_ADMIN@tjmail.com
10024,2021-10-24,PRODUCT MANAGER,Coordinate product development projects with team of product engineers.,57504,9,10067,P. E. PTE LTD,PE_ADMIN@pemail.com
10025,2021-11-17,SENIOR SALES MANAGER,Strategize sales program. Partner with company's long term clients and develop continuous clientele relation.,78252,5,10074,D. H. PTE LTD,DH_ADMIN@dhmail.com
10026,2021-12-15,GAME ARCHITECT,Design and innovate and transform existing games. Propose and design game logics and winning criteria.,31632,1,10060,C. U. PTE LTD,CU_ADMIN@cumail.com
10027,2021-04-28,GAME DEVELOPER,Build and design mobile game for cater to diverse gamers communities. Implement game features following tight development timeline.,75696,5,10090,A. A. PTE LTD,AA_ADMIN@aamail.com
10028,2021-01-28,CHIEF TECHNOLOGY OFFICER,Deliver and lead conferences in innovative development. Draw up technology transformation roadmap.,63324,5,10078,R. N. PTE LTD,RN_ADMIN@rnmail.com
10029,2021-04-02,CHIEF MARKETING OFFICER,Develop annual marketing strategy. Forecast and identify growth potential areas. Study and propose strategies for expanding sales market.,54972,4,10051,S. I. PTE LTD,SI_ADMIN@simail.com
10030,2021-09-07,MOBILE APP DEVELOPER,Design and maintain company app. Design and implement new and refreshing mobile app user interface.,37968,1,10090,A. A. PTE LTD,AA_ADMIN@aamail.com
10031,2021-07-15,CHIEF INNOVATION OFFICER,Deliver and lead conferences in innovative development,52764,6,10065,L. C. PTE LTD,LC_ADMIN@lcmail.com
10032,2021-03-20,FRONTEND DEVELOPER,Use design tools and draw up design wireframes. Pull and source of new and refreshing design resources.,61164,6,10054,P. V. PTE LTD,PV_ADMIN@pvmail.com
10033,2021-11-23,WEB DEVELOPER,Create web application. Build web front-end. Coordinate with backend. Use design tools. Maintain website deployment process.,41592,4,10066,E. M. PTE LTD,EM_ADMIN@emmail.com
10034,2021-03-07,SENIOR DATABASE MANAGER,Build and maintain database systems. Source for new database systems and monitor database migration procedure and processes.,56256,8,10077,K. Y. PTE LTD,KY_ADMIN@kymail.com
10035,2021-07-12,PRODUCT MANAGER,Coordinate product development projects with team of product engineers.,53844,9,10083,T. J. PTE LTD,TJ_ADMIN@tjmail.com
10036,2021-10-06,SENIOR PRODUCT ENGINEER,Problem solving and troubleshooting. Oversee up and coming product development projects and support in ensuring smooth delivery of new launches.,40764,8,10069,S. H. PTE LTD,SH_ADMIN@shmail.com
10037,2021-12-18,PROJECT LEAD,Be in charge of project delivery. Check with all parties and lay out project timelines.,30768,7,10045,M. L. PTE LTD,ML_ADMIN@mlmail.com
10038,2021-09-20,OPERATION MANAGER,Collaboration with agencies. Maintain production schedule and ensure manufacturing parts are ready for production.,50088,2,10054,P. V. PTE LTD,PV_ADMIN@pvmail.com
10039,2021-04-11,ACCOUNT MANAGER,Manage accounting tasks and timeline. Prepare accounting checks and update accounting presentation slides.,24144,6,10043,Y. T. PTE LTD,YT_ADMIN@ytmail.com
10040,2021-06-07,SENIOR SOFTWARE DEVELOPER,Clean code and architecture. Conduct unit tests and debug common programming errors.,30960,10,10089,I. W. PTE LTD,IW_ADMIN@iwmail.com
10041,2021-04-20,CHIEF OF SALES AND MARKETING,Oversee both sales and marketing branches and improving synergy and develop new communication channels for product launches.,39492,10,10042,V. K. PTE LTD,VK_ADMIN@vkmail.com
10042,2021-01-25,SOFTWARE ENGINEER,Design and create desktop application. Improve information flow in applications. Improve existing software designs and business logics.,34332,6,10061,D. G. PTE LTD,DG_ADMIN@dgmail.com
10043,2021-03-12,DATA SPECIALIST,Ensure integrity of data. Continuously explore new data insights and expand on data horizons. Generate new development pathways based on data findings.,65568,4,10081,P. V. PTE LTD,PV_ADMIN@pvmail.com
10044,2021-02-02,PROGRAMMING TRAINER,Conduct training in multiple programming languages. Prepare training curriculum and and training materials. Coordinate training schedules with trainees.,35412,6,10052,M. R. PTE LTD,MR_ADMIN@mrmail.com
10045,2021-07-26,SENIOR FULLSTACK DEVELOPER,Conduct mentoring sessions in web development and backend development. Share experiences and support developers in training development,49764,3,10050,I. Y. PTE LTD,IY_ADMIN@iymail.com
10046,2021-03-10,SOFTWARE ENGINEER,Design and create desktop application. Improve information flow in applications. Improve existing software designs and business logics.,35304,9,10067,P. E. PTE LTD,PE_ADMIN@pemail.com
10047,2021-07-14,GRAPHICS DESIGNER,Design visual communication materials. Produce company marketing graphics and support in crafting emailer.,37764,1,10070,U. Y. PTE LTD,UY_ADMIN@uymail.com
10048,2021-10-06,CHIEF OPERATION OFFICER,Supervise and guide the team in achieving productivity. ,43224,5,10046,L. J. PTE LTD,LJ_ADMIN@ljmail.com
10049,2021-08-11,CHIEF TECHNOLOGY ENGINEER,Deliver and lead conferences in innovative development. Overall in charge of all company digital transformation plans.,38892,0,10064,V. J. PTE LTD,VJ_ADMIN@vjmail.com
10050,2021-09-24,CHIEF COMMUNICATION OFFICER,Communicate with agencies. Draw up communication timeline for new development and prepare users for launch information.,64536,2,10076,S. P. PTE LTD,SP_ADMIN@spmail.com
10051,2021-01-21,SENIOR PRODUCT ENGINEER,Problem solving and troubleshooting. Oversee up and coming product development projects and support in ensuring smooth delivery of new launches.,69480,8,10088,Y. Y. PTE LTD,YY_ADMIN@yymail.com
10052,2021-11-17,DATA ANALYST,Collect and analyse data. Present data findings and suggest appropriate reasons for the findings. Propose or advice on any improvement to be made on existing deliverables.,25380,7,10084,Q. V. PTE LTD,QV_ADMIN@qvmail.com
10053,2021-01-04,ACCOUNT MANAGER,Manage accounting tasks and timeline. Prepare accounting checks and update accounting presentation slides.,54516,7,10081,P. V. PTE LTD,PV_ADMIN@pvmail.com
10054,2021-09-07,NETWORK ADMINISTRATOR,Monitor network data. Draw out network mappings and maintain network address. Assist network manager in administrative tasks like account managements.,83136,8,10082,V. Q. PTE LTD,VQ_ADMIN@vqmail.com
10055,2021-10-11,DESIGNER DIRECTOR,Transform the art and design landscape. Spearhead bold and innovative design projects.,77652,1,10074,D. H. PTE LTD,DH_ADMIN@dhmail.com
10056,2021-11-13,CHIEF TECHNOLOGY OFFICER,Deliver and lead conferences in innovative development. Draw up technology transformation roadmap.,74616,0,10075,C. K. PTE LTD,CK_ADMIN@ckmail.com
10057,2021-03-26,SENIOR SOFTWARE ENGINEER,Manage a team of engineers. Assist software manager in scheduling software maintenance cycles and processes.,36672,5,10082,V. Q. PTE LTD,VQ_ADMIN@vqmail.com
10058,2021-12-03,NETWORK ADMINISTRATOR,Monitor network data. Draw out network mappings and maintain network address. Assist network manager in administrative tasks like account managements.,68532,4,10058,V. Q. PTE LTD,VQ_ADMIN@vqmail.com
10059,2021-04-13,CHIEF COMMUNICATION OFFICER,Communicate with agencies. Draw up communication timeline for new development and prepare users for launch information.,57516,3,10056,Y. Q. PTE LTD,YQ_ADMIN@yqmail.com
10060,2021-07-01,RESEARCHER,Conduct research on social statistics. Analyse and discover insights to research findings. Report findings by publishing in international journals.,77580,3,10047,O. J. PTE LTD,OJ_ADMIN@ojmail.com
10061,2021-02-07,PROJECT MANAGER,Ensure delivery of project. Ensure timeline of projects are closely followed. Stakeholder management in case of problems encountered during project.,39912,8,10060,C. U. PTE LTD,CU_ADMIN@cumail.com
10062,2021-03-22,CHIEF SECURITY OFFICER,Implement Cybersecurity plan. Conduct training for best practices in cybesecurities.,52584,2,10084,Q. V. PTE LTD,QV_ADMIN@qvmail.com
10063,2021-12-02,CUSTOMER RELATION OFFICER,Coordinate with clients. Problem solve issues raised by customers and and support in the tracking and communication of requests from customers.,46248,10,10051,S. I. PTE LTD,SI_ADMIN@simail.com
10064,2021-01-03,DATABASE ADMINISTRATOR,Maintain database and manage database. Check integrity of data. Carry out database batch processes. Remove expired data.,42204,3,10042,V. K. PTE LTD,VK_ADMIN@vkmail.com
10065,2021-12-03,ART THERAPIST,Design art programme and activities. Conduct talk for raising awareness in art therapies.,47208,1,10087,I. I. PTE LTD,II_ADMIN@iimail.com
10066,2021-06-09,DESIGNER DIRECTOR,Transform the art and design landscape. Spearhead bold and innovative design projects.,33960,1,10072,N. V. PTE LTD,NV_ADMIN@nvmail.com
10067,2021-12-24,SENIOR DATABASE MANAGER,Build and maintain database systems. Source for new database systems and monitor database migration procedure and processes.,38232,0,10068,T. N. PTE LTD,TN_ADMIN@tnmail.com
10068,2021-07-20,SALES MANAGER,Identify sales opportunities. Monitor sales data and identify sales trends. Analyse and recommend sales highlights.,69456,1,10072,N. V. PTE LTD,NV_ADMIN@nvmail.com
10069,2021-02-03,CHIEF PROCUREMENT OFFICER,Ensure proper procurement practices across all departments.,72528,1,10051,S. I. PTE LTD,SI_ADMIN@simail.com
10070,2021-05-09,FULLSTACK DEVELOPER,Build both front and back-end web application. Work with web designers and database managers in the development.,61908,8,10075,C. K. PTE LTD,CK_ADMIN@ckmail.com
10071,2021-09-11,CHIEF TECHNOLOGY OFFICER,Deliver and lead conferences in innovative development. Draw up technology transformation roadmap.,24660,0,10043,Y. T. PTE LTD,YT_ADMIN@ytmail.com
10072,2021-02-05,ACCOUNT MANAGER,Manage accounting tasks and timeline. Prepare accounting checks and update accounting presentation slides.,52848,1,10055,O. X. PTE LTD,OX_ADMIN@oxmail.com
10073,2021-10-17,MUSIC THERAPIST,Design music programme and activities.  Conduct talk for raising awareness in music therapies.,72840,9,10073,H. C. PTE LTD,HC_ADMIN@hcmail.com
10074,2021-01-26,WEB DEVELOPER,Create web application. Build web front-end. Coordinate with backend. Use design tools. Maintain website deployment process.,59268,4,10056,Y. Q. PTE LTD,YQ_ADMIN@yqmail.com
10075,2021-01-28,SENIOR SALES MANAGER,Strategize sales program. Partner with company's long term clients and develop continuous clientele relation.,41268,7,10079,Q. H. PTE LTD,QH_ADMIN@qhmail.com
10076,2021-06-02,ART THERAPIST,Design art programme and activities. Conduct talk for raising awareness in art therapies.,39504,3,10084,Q. V. PTE LTD,QV_ADMIN@qvmail.com
10077,2021-05-19,FULLSTACK DEVELOPER,Build both front and back-end web application. Work with web designers and database managers in the development.,40872,1,10091,A. A. PTE LTD,AA_ADMIN@aamail.com
10078,2021-10-28,GRAPHICS DESIGNER,Design visual communication materials. Produce company marketing graphics and support in crafting emailer.,83040,6,10043,Y. T. PTE LTD,YT_ADMIN@ytmail.com
10079,2021-03-04,HUMAN RESOURCE EXECUTIVE,HeadHunt for talents and recommend matching jobs. Ensure payroll and employee data are properly recorded.,70248,8,10061,D. G. PTE LTD,DG_ADMIN@dgmail.com
10080,2021-06-09,PROGRAMMING TRAINER,Conduct training in multiple programming languages. Prepare training curriculum and and training materials. Coordinate training schedules with trainees.,33972,3,10044,B. J. PTE LTD,BJ_ADMIN@bjmail.com
10081,2021-06-10,PRODUCT MANAGER,Coordinate product development projects with team of product engineers.,80376,6,10068,T. N. PTE LTD,TN_ADMIN@tnmail.com
10082,2021-12-28,CHIEF SECURITY OFFICER,Implement Cybersecurity plan. Conduct training for best practices in cybesecurities.,29652,6,10059,W. Q. PTE LTD,WQ_ADMIN@wqmail.com
10083,2021-11-01,PROCUREMENT OFFICER,Outsource services. Liaise with vendor to obtain quotation for annual procurement of company purchases.,74340,0,10066,E. M. PTE LTD,EM_ADMIN@emmail.com
10084,2021-05-15,GAME ARCHITECT,Design and innovate and transform existing games. Propose and design game logics and winning criteria.,51192,3,10045,M. L. PTE LTD,ML_ADMIN@mlmail.com
10085,2021-03-21,ART THERAPIST,Design art programme and activities. Conduct talk for raising awareness in art therapies.,55704,6,10043,Y. T. PTE LTD,YT_ADMIN@ytmail.com
10086,2021-06-19,SENIOR SALES MANAGER,Strategize sales program. Partner with company's long term clients and develop continuous clientele relation.,44316,7,10087,I. I. PTE LTD,II_ADMIN@iimail.com
10087,2021-09-16,SENIOR AUDITOR,Audit compliance. Highlight malpractice in accounting. Propose improvement in accounting practices.,67728,8,10057,C. V. PTE LTD,CV_ADMIN@cvmail.com
10088,2021-10-02,CHIEF TECHNOLOGY ENGINEER,Deliver and lead conferences in innovative development. Overall in charge of all company digital transformation plans.,75660,3,10048,L. B. PTE LTD,LB_ADMIN@lbmail.com
10089,2021-04-16,CUSTOMER RELATION OFFICER,Coordinate with clients. Problem solve issues raised by customers and and support in the tracking and communication of requests from customers.,35400,9,10055,O. X. PTE LTD,OX_ADMIN@oxmail.com
10090,2021-08-14,CUSTOMER RELATION OFFICER,Coordinate with clients. Problem solve issues raised by customers and and support in the tracking and communication of requests from customers.,67692,4,10080,K. W. PTE LTD,KW_ADMIN@kwmail.com
10091,2021-06-25,MOBILE APP DEVELOPER,Design and maintain company app. Design and implement new and refreshing mobile app user interface.,81948,10,10071,Y. J. PTE LTD,YJ_ADMIN@yjmail.com
10092,2021-06-27,PRODUCT DEVELOPER,Onsite maintenance for ongoing product development. Test product reliability and functionalities.,77100,1,10062,X. M. PTE LTD,XM_ADMIN@xmmail.com
10093,2021-12-14,SENIOR PROJECT MANAGER,Compute sales and revenue and balance sheet. Ensure stakeholder management.,71688,8,10079,Q. H. PTE LTD,QH_ADMIN@qhmail.com
10094,2021-07-06,DATA ANALYST,Collect and analyse data. Present data findings and suggest appropriate reasons for the findings. Propose or advice on any improvement to be made on existing deliverables.,69144,10,10079,Q. H. PTE LTD,QH_ADMIN@qhmail.com
10095,2021-03-01,CHIEF INNOVATION OFFICER,Deliver and lead conferences in innovative development,41796,3,10042,V. K. PTE LTD,VK_ADMIN@vkmail.com
10096,2021-07-16,SALES MANAGER,Identify sales opportunities. Monitor sales data and identify sales trends. Analyse and recommend sales highlights.,77508,4,10089,I. W. PTE LTD,IW_ADMIN@iwmail.com
10097,2021-06-16,DATA SPECIALIST,Ensure integrity of data. Continuously explore new data insights and expand on data horizons. Generate new development pathways based on data findings.,58308,8,10062,X. M. PTE LTD,XM_ADMIN@xmmail.com
10098,2021-06-23,MOBILE APP DEVELOPER,Design and maintain company app. Design and implement new and refreshing mobile app user interface.,48144,7,10053,T. U. PTE LTD,TU_ADMIN@tumail.com
10099,2021-04-27,CHIEF OF SALES AND MARKETING,Oversee both sales and marketing branches and improving synergy and develop new communication channels for product launches.,38244,1,10067,P. E. PTE LTD,PE_ADMIN@pemail.com
10100,2021-08-22,CHIEF OF DESIGN,Transform the art and design landscape. Spearhead bold and innovative design projects.,46236,6,10065,L. C. PTE LTD,LC_ADMIN@lcmail.com
10101,2021-12-05,GAME ARCHITECT,Design and innovate and transform existing games. Propose and design game logics and winning criteria.,80292,5,10048,L. B. PTE LTD,LB_ADMIN@lbmail.com
10102,2021-06-16,CONTENT PRODUCER,Deliver content in a fast-paced environment. Analyse information on the go and work with chief editor in delivering a company-styled news content.,40188,8,10067,P. E. PTE LTD,PE_ADMIN@pemail.com
10103,2021-12-08,PRODUCT DEVELOPMENT LEAD,Be in charge of product development and determine product specification for each production stages.,65484,8,10088,Y. Y. PTE LTD,YY_ADMIN@yymail.com
10104,2021-07-18,WEB DESIGNER,Create web application. Build web front-end. Coordinate with backend. Use design tools. Maintain website deployment process.,43044,4,10087,I. I. PTE LTD,II_ADMIN@iimail.com
10105,2021-03-06,PROGRAMMING TRAINER,Conduct training in multiple programming languages. Prepare training curriculum and and training materials. Coordinate training schedules with trainees.,35520,8,10052,M. R. PTE LTD,MR_ADMIN@mrmail.com
10106,2021-06-18,SENIOR WEB DEVELOPER,Mentor younger web developers. Support and organise training in new web technologies.,73320,0,10060,C. U. PTE LTD,CU_ADMIN@cumail.com
10107,2021-01-28,CHIEF INNOVATION OFFICER,Deliver and lead conferences in innovative development,74124,4,10049,O. K. PTE LTD,OK_ADMIN@okmail.com
10108,2021-12-23,PRODUCT DEVELOPMENT LEAD,Be in charge of product development and determine product specification for each production stages.,31344,3,10045,M. L. PTE LTD,ML_ADMIN@mlmail.com
10109,2021-07-02,FINTECH ENGINEER,Engineer financial products and problem-solve challenges in fintech.,52452,2,10079,Q. H. PTE LTD,QH_ADMIN@qhmail.com
10110,2021-04-10,RESEARCHER,Conduct research on social statistics. Analyse and discover insights to research findings. Report findings by publishing in international journals.,30372,7,10053,T. U. PTE LTD,TU_ADMIN@tumail.com
10111,2021-02-21,FRONTEND DEVELOPER,Use design tools and draw up design wireframes. Pull and source of new and refreshing design resources.,50412,3,10047,O. J. PTE LTD,OJ_ADMIN@ojmail.com
10112,2021-07-21,RESEARCHER,Conduct research on social statistics. Analyse and discover insights to research findings. Report findings by publishing in international journals.,42768,10,10078,R. N. PTE LTD,RN_ADMIN@rnmail.com
10113,2021-04-25,DATA ANALYST,Collect and analyse data. Present data findings and suggest appropriate reasons for the findings. Propose or advice on any improvement to be made on existing deliverables.,77928,5,10057,C. V. PTE LTD,CV_ADMIN@cvmail.com
10114,2021-04-06,CHIEF TECHNOLOGY OFFICER,Deliver and lead conferences in innovative development. Draw up technology transformation roadmap.,49224,2,10081,P. V. PTE LTD,PV_ADMIN@pvmail.com
10115,2021-09-03,CHIEF ANIMATOR,Deliver timely animation work tasks. Draw up production timeline and manage animation development team.,58980,2,10068,T. N. PTE LTD,TN_ADMIN@tnmail.com
10116,2021-01-17,CHIEF MARKETING OFFICER,Develop annual marketing strategy. Forecast and identify growth potential areas. Study and propose strategies for expanding sales market.,74124,7,10048,L. B. PTE LTD,LB_ADMIN@lbmail.com
10117,2021-09-13,PROCUREMENT OFFICER,Outsource services. Liaise with vendor to obtain quotation for annual procurement of company purchases.,56652,6,10074,D. H. PTE LTD,DH_ADMIN@dhmail.com
10118,2021-07-27,ACCOUNT MANAGER,Manage accounting tasks and timeline. Prepare accounting checks and update accounting presentation slides.,42048,5,10067,P. E. PTE LTD,PE_ADMIN@pemail.com
10119,2021-06-05,CHIEF ANIMATOR,Deliver timely animation work tasks. Draw up production timeline and manage animation development team.,51876,6,10046,L. J. PTE LTD,LJ_ADMIN@ljmail.com
10120,2021-07-03,CONTENT PRODUCER,Deliver content in a fast-paced environment. Analyse information on the go and work with chief editor in delivering a company-styled news content.,24228,5,10052,M. R. PTE LTD,MR_ADMIN@mrmail.com
10121,2021-08-04,CONTENT PRODUCER,Deliver content in a fast-paced environment. Analyse information on the go and work with chief editor in delivering a company-styled news content.,59568,4,10062,X. M. PTE LTD,XM_ADMIN@xmmail.com
10122,2021-11-27,SENIOR GRAPHICS DESIGNER,Draw up company design specifications and standards. Ensure adherence of company logo specifications.,81804,8,10058,V. Q. PTE LTD,VQ_ADMIN@vqmail.com
10123,2021-12-19,OPERATION MANAGER,Collaboration with agencies. Maintain production schedule and ensure manufacturing parts are ready for production.,25452,4,10051,S. I. PTE LTD,SI_ADMIN@simail.com
10124,2021-10-07,CHIEF SECURITY OFFICER,Implement Cybersecurity plan. Conduct training for best practices in cybesecurities.,67680,1,10088,Y. Y. PTE LTD,YY_ADMIN@yymail.com
10125,2021-12-02,GRAPHICS DESIGNER,Design visual communication materials. Produce company marketing graphics and support in crafting emailer.,29892,5,10058,V. Q. PTE LTD,VQ_ADMIN@vqmail.com
10126,2021-03-13,SENIOR DATABASE MANAGER,Build and maintain database systems. Source for new database systems and monitor database migration procedure and processes.,77928,1,10057,C. V. PTE LTD,CV_ADMIN@cvmail.com
10127,2021-03-07,DESIGNER DIRECTOR,Transform the art and design landscape. Spearhead bold and innovative design projects.,39456,9,10077,K. Y. PTE LTD,KY_ADMIN@kymail.com
10128,2021-08-12,SENIOR SOFTWARE ARCHITECT,Problem solving and troubleshooting. Design and implement information flow logics. Oversee adherence of company policies within software logics.,42492,1,10084,Q. V. PTE LTD,QV_ADMIN@qvmail.com
10129,2021-10-21,FRONTEND DEVELOPER,Use design tools and draw up design wireframes. Pull and source of new and refreshing design resources.,29844,5,10050,I. Y. PTE LTD,IY_ADMIN@iymail.com
10130,2021-06-20,WEB DEVELOPER,Create web application. Build web front-end. Coordinate with backend. Use design tools. Maintain website deployment process.,24528,4,10052,M. R. PTE LTD,MR_ADMIN@mrmail.com
10131,2021-11-07,CHIEF MARKETING OFFICER,Develop annual marketing strategy. Forecast and identify growth potential areas. Study and propose strategies for expanding sales market.,68820,4,10076,S. P. PTE LTD,SP_ADMIN@spmail.com
10132,2021-08-04,GAME ARCHITECT,Design and innovate and transform existing games. Propose and design game logics and winning criteria.,25104,4,10072,N. V. PTE LTD,NV_ADMIN@nvmail.com
10133,2021-01-02,WEB DESIGNER,Create web application. Build web front-end. Coordinate with backend. Use design tools. Maintain website deployment process.,68760,7,10088,Y. Y. PTE LTD,YY_ADMIN@yymail.com
10134,2021-09-07,OPERATION MANAGER,Collaboration with agencies. Maintain production schedule and ensure manufacturing parts are ready for production.,49464,1,10051,S. I. PTE LTD,SI_ADMIN@simail.com
10135,2021-03-15,LEAD SALES MANAGER,Deliver sales result. Device sales strategies with marketing and sales team.,74604,8,10062,X. M. PTE LTD,XM_ADMIN@xmmail.com
10136,2021-04-20,CHIEF SECURITY OFFICER,Implement Cybersecurity plan. Conduct training for best practices in cybesecurities.,39888,8,10078,R. N. PTE LTD,RN_ADMIN@rnmail.com
10137,2021-07-20,SENIOR FULLSTACK DEVELOPER,Conduct mentoring sessions in web development and backend development. Share experiences and support developers in training development,65700,4,10073,H. C. PTE LTD,HC_ADMIN@hcmail.com
10138,2021-12-02,DATABASE MANAGER,Maintain database and manage database. Check integrity of data. Carry out database batch processes. Remove expired data.,79104,4,10087,I. I. PTE LTD,II_ADMIN@iimail.com
10139,2021-06-06,CHIEF ENGINEER,Study and understand the issues surround a problem,54948,2,10079,Q. H. PTE LTD,QH_ADMIN@qhmail.com
10140,2021-10-08,ART THERAPIST,Design art programme and activities. Conduct talk for raising awareness in art therapies.,46788,4,10055,O. X. PTE LTD,OX_ADMIN@oxmail.com
10141,2021-05-27,CHIEF COMMUNICATION OFFICER,Communicate with agencies. Draw up communication timeline for new development and prepare users for launch information.,65664,8,10045,M. L. PTE LTD,ML_ADMIN@mlmail.com
10142,2021-07-15,SENIOR UI/UX DEVELOPER,Mentor younger UI/UX developers. Design customer-centric web and mobile app user interfaces.,80868,4,10052,M. R. PTE LTD,MR_ADMIN@mrmail.com
10143,2021-06-22,CHIEF MARKETING OFFICER,Develop annual marketing strategy. Forecast and identify growth potential areas. Study and propose strategies for expanding sales market.,47484,7,10088,Y. Y. PTE LTD,YY_ADMIN@yymail.com
10144,2021-02-27,CHIEF ENGINEER,Study and understand the issues surround a problem,40476,1,10064,V. J. PTE LTD,VJ_ADMIN@vjmail.com
10145,2021-04-21,SENIOR ACCOUNTANT,Tax Declaration and ensure compliance. Propose and implement proper accounting practices.,55200,5,10083,T. J. PTE LTD,TJ_ADMIN@tjmail.com
10146,2021-12-16,CHIEF TECHNOLOGY ENGINEER,Deliver and lead conferences in innovative development. Overall in charge of all company digital transformation plans.,46104,5,10077,K. Y. PTE LTD,KY_ADMIN@kymail.com
10147,2021-04-28,SOFTWARE ENGINEER,Design and create desktop application. Improve information flow in applications. Improve existing software designs and business logics.,26952,7,10071,Y. J. PTE LTD,YJ_ADMIN@yjmail.com
10148,2021-06-08,CHIEF TECHNOLOGY OFFICER,Deliver and lead conferences in innovative development. Draw up technology transformation roadmap.,66708,0,10063,L. F. PTE LTD,LF_ADMIN@lfmail.com
10149,2021-07-09,DATA SPECIALIST,Ensure integrity of data. Continuously explore new data insights and expand on data horizons. Generate new development pathways based on data findings.,79440,3,10061,D. G. PTE LTD,DG_ADMIN@dgmail.com
10150,2021-11-27,SENIOR SOFTWARE DEVELOPER,Clean code and architecture. Conduct unit tests and debug common programming errors.,39576,7,10046,L. J. PTE LTD,LJ_ADMIN@ljmail.com
